frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
3,5.0,[1098.2431991032263 585.6681559864428 1391.3402696884414 873.493983144293],[1208.4052734375 779.8677978515625 1292.6427001953125 824.1558837890625],0.5219632983207703,WT51OSU,0.04743362131338784
4,3.0,[374.4907510059447 689.9160561940475 715.447893813395 999.9432174877047],[482.4538269042969 892.1713256835938 592.50439453125 935.8222045898438],0.47394776344299316,NA13NRU,0.2824587679464081
4,5.0,[1098.747311011401 586.6203643416786 1392.3709387110512 875.9593867142164],[1205.81689453125 781.98193359375 1292.91357421875 826.790771484375],0.4297616183757782,MO51TSV,0.0677144101712562
6,3.0,[371.97444250132173 693.670659733814 715.1492284185139 1006.1564387364955],[478.11456298828125 891.749267578125 593.5090942382812 942.9228515625],0.561312198638916,NA13NFU,0.3265924440540083
7,3.0,[371.35241538991045 694.2158003411591 714.8243182763379 1007.1101537059653],[478.0274963378906 891.566162109375 593.28173828125 942.7020263671875],0.5672035217285156,NA13NRU,0.3838648186073774
8,3.0,[368.71419204128864 694.4600000866928 712.3004406396208 1009.4489939402722],[474.1427307128906 892.4078979492188 597.274658203125 945.7525634765625],0.4498472213745117,HA13NRU,0.34667035891666426
10,5.0,[1094.6601956186291 590.1524033085046 1394.7758230109275 884.838920108433],[1205.222900390625 791.5294189453125 1292.7744140625 830.22802734375],0.5517441630363464,MI51YSU,0.4985485974608753
11,5.0,[1096.3237708565143 590.43320596376 1398.5483098017844 885.8952284245927],[1209.0281982421875 794.4571533203125 1294.3897705078125 832.5227661132812],0.5808507204055786,KO51VSU,0.09283791382150988
12,5.0,[1096.5538772034006 589.4311664841525 1401.5758772134495 886.5880796438273],[1209.8009033203125 794.1773681640625 1294.7637939453125 835.7820434570312],0.603095531463623,IV51TSU,0.02726436126994691
13,3.0,[365.13137893609394 702.8256942769748 711.6036658652303 1021.2708372345043],[471.44000244140625 900.3116455078125 594.6800537109375 952.0607299804688],0.5151550769805908,NA13NFU,0.22039903500943211
16,5.0,[1097.4558221479533 595.5291082871021 1407.363621916354 892.5443335560338],[1210.9080810546875 798.4592895507812 1295.3328857421875 840.624267578125],0.5808095932006836,NI51TSU,0.21527012511846264
19,3.0,[356.70672037485264 711.4502056335584 708.9025845787285 1033.334470355593],[466.32568359375 916.29638671875 588.9100341796875 964.3273315429688],0.5471234321594238,MA13MRU,0.16497671320918506
20,5.0,[1099.3980923226923 599.2592756320738 1411.5722473809292 898.356312776249],[1212.6490478515625 802.1442260742188 1297.798583984375 848.4488525390625],0.6061896085739136,NV51YSU,0.22138179265817678
21,3.0,[351.656502523051 713.8569356382704 704.7205658931772 1036.8629564682176],[456.4139099121094 919.33544921875 579.6744384765625 969.8698120117188],0.3757905960083008,HA13NRU,0.599893032792313
22,3.0,[351.2148136817245 715.8083483361386 704.8664199429152 1039.8757977149232],[462.6427917480469 921.58447265625 587.1202392578125 978.2047119140625],0.5500661730766296,NA13NRU,0.720025541825691
23,3.0,[350.496182549932 718.440506014319 703.8374965488285 1042.6397523344554],[466.65362548828125 925.8030395507812 583.5877075195312 974.5226440429688],0.5267365574836731,NA13KRU,0.4786056039405669
24,5.0,[1097.8789702747993 599.8744079528174 1406.7582126648406 904.5654101627526],[1213.8887939453125 810.7923583984375 1298.0869140625 850.993896484375],0.5692756772041321,MI51YSU,0.08250596807082457
24,3.0,[349.1157990676563 720.9794007697276 703.6730373670057 1045.4940070606544],[464.1567077636719 926.0482177734375 580.2268676757812 979.1275634765625],0.4897312819957733,MA13NRU,0.5239398309436213
25,5.0,[1097.624034439239 601.3353488732151 1406.570717071378 905.3968232940016],[1213.887451171875 810.7894287109375 1298.0885009765625 850.996826171875],0.5692039728164673,MI51YSU,0.08250596807082457
25,3.0,[348.4277577578855 721.8384222699102 703.8491036460148 1046.553236057373],[464.15570068359375 926.0482177734375 580.2271728515625 979.1275634765625],0.48964741826057434,MA13NRU,0.5239398309436213
26,3.0,[347.5963707391659 721.9409833819985 703.540895066343 1048.1669779708313],[462.5312194824219 929.5310668945312 583.5274658203125 983.5464477539062],0.5769253969192505,HA13NRU,0.2786530341735756
27,3.0,[346.4562586701361 722.8799543348753 702.4993504797369 1049.6652748416536],[457.50054931640625 934.4752807617188 576.0532836914062 979.3143310546875],0.5109591484069824,NA13MRU,0.31868538823914516
28,3.0,[345.67046853471106 724.6997152751943 701.4668830459075 1051.6498866835195],[460.85943603515625 936.892822265625 591.8463134765625 990.1644287109375],0.36853644251823425,NA13MRU,0.2431121480641139
29,3.0,[344.777514045779 727.0531657937684 700.4395479797381 1053.7117258217172],[468.3121032714844 939.780029296875 576.57080078125 985.1471557617188],0.5609752535820007,NA13NRU,0.24241597086709687
30,3.0,[343.9102702683315 729.7102023320742 700.4962954821367 1055.6507901192736],[461.9140625 939.9789428710938 579.2958374023438 991.504638671875],0.5763671398162842,NA13NRU,0.6152777524615455
31,3.0,[343.5094379578237 730.8343561038771 700.7327327522042 1056.207448737015],[461.9557189941406 940.0172119140625 579.2647705078125 991.4559326171875],0.5774075984954834,MA13NRU,0.32153526528237786
32,5.0,[1100.8864833149373 613.1096786883654 1411.9483672201945 918.0117565427233],[1213.2935791015625 820.9006958007812 1298.5086669921875 862.8256225585938],0.6650036573410034,MO51YSV,0.3629523827193038
33,3.0,[340.5664140016248 733.9364702196538 699.2558919754846 1059.1263832482684],[444.7425842285156 941.197998046875 576.8988647460938 995.4413452148438],0.5852587223052979,NA13MRU,0.23044522984008878
36,3.0,[337.77977012737284 742.7819089255581 696.7163239495017 1067.4422420975147],[450.6350402832031 950.4979248046875 577.7982177734375 1002.9973754882812],0.5652166604995728,NA13NRU,0.2104684589147248
39,3.0,[335.2513809982772 748.2931993471409 695.3048668231656 1072.230628138268],[448.2864990234375 957.09033203125 569.2040405273438 1006.7586059570312],0.5667290091514587,NA13HRU,0.20778921666121256
40,3.0,[334.02810367667155 749.6586428051736 694.9115936238073 1073.3330570540024],[452.28179931640625 961.5463256835938 567.503662109375 1009.3577270507812],0.6152021884918213,NA13NRU,0.37141085535267965
42,3.0,[329.1970347395079 754.1245080095842 692.5784076238062 1075.3083218482807],[439.4971618652344 963.6901245117188 576.9950561523438 1020.2466430664062],0.6054800152778625,NA13NRU,0.48452728423670377
43,3.0,[328.21048357584186 755.2604557084351 692.3269201645419 1075.256588848692],[440.8612060546875 964.8761596679688 575.450927734375 1020.322509765625],0.599999725818634,NA13HRU,0.40393156065393093
44,3.0,[327.50742595868246 755.7725029280066 692.4625660130182 1075.428467056497],[437.97802734375 961.9290161132812 568.7546997070312 1018.85009765625],0.6356887817382812,MA13NPU,0.5566658212103903
45,3.0,[326.87910215777845 757.6651687020722 692.5578335460793 1076.5177051831436],[449.55450439453125 967.6845703125 575.9661254882812 1022.196533203125],0.6036714911460876,MA13MRU,0.22995436799382707
46,3.0,[326.20505040991014 758.8562970553389 692.6115204281275 1076.149576144679],[450.9480285644531 970.0115356445312 571.4844970703125 1023.31005859375],0.6493614315986633,NA13HRU,0.22232847753310175
47,5.0,[1104.6689580770978 630.7070510047788 1428.3617614364177 944.9099131384564],[1216.7662353515625 848.0183715820312 1311.6591796875 892.6012573242188],0.6638450622558594,NI51TSV,0.14180236342583344
49,5.0,[1105.1760493883166 633.086900349741 1428.722587391138 948.4980313305623],[1219.6259765625 848.076416015625 1311.78076171875 892.5311279296875],0.6716307997703552,NI51WSV,0.05194885681790392
49,3.0,[324.942499935387 761.2429428016396 691.9999231553024 1074.0782827086366],[437.18115234375 975.8214111328125 563.426513671875 1032.5830078125],0.6301998496055603,NA13MRU,0.2265857795007328
51,3.0,[324.3032192080164 765.275051466215 690.6594963539419 1075.1132897972502],[438.3344421386719 985.9683837890625 565.2078247070312 1036.1158447265625],0.6449115872383118,NA13NRU,0.5155452634278378
54,3.0,[321.9033835874212 771.6581263585983 691.3241551771318 1075.9551213146926],[427.1665954589844 987.961181640625 565.8670654296875 1046.759765625],0.6775625348091125,NA13MRU,0.24271670163841721
55,3.0,[321.3740370116232 772.8606499292566 691.4891463821828 1075.6844680810507],[427.16162109375 987.9730224609375 565.8515625 1046.745849609375],0.6777469515800476,NA13MRU,0.24271670163841721
56,3.0,[320.1454335262485 774.1835570555148 689.4941443507266 1075.6180259288312],[436.4169921875 990.7293090820312 559.0181884765625 1046.501708984375],0.6631761789321899,MA13HRU,0.497024660318736
57,3.0,[316.57705193503955 776.2182056303393 687.0091786022448 1075.9024396416573],[430.83447265625 993.59912109375 564.3683471679688 1050.583740234375],0.6604772210121155,MA13NRU,0.42760514969024915
